GroupVariation,Index,Description,Field
Group42Var2,3,Analog Output Status - 16-bit without flags,anaOutput3
Group42Var2,4,Analog Output Status - 16-bit without flags,anaOutput4
Group42Var2,5,Analog Output Status - 16-bit without flags,anaOutput5
Group42Var2,6,Analog Output Status - 16-bit without flags,anaOutput6
Group42Var2,7,Analog Output Status - 16-bit without flags,anaOutput7
Group42Var2,8,Analog Output Status - 16-bit without flags,anaOutput8
Group42Var2,9,Analog Output Status - 16-bit without flags,anaOutput9
Group42Var2,10,Analog Output Status - 16-bit without flags,anaOutput10
Group43Var2,0,Analog Output Status - 16-bit without flags,anaOutput0
Group43Var2,1,Analog Output Status - 16-bit without flags,anaOutput1
Group43Var2,2,Analog Output Status - 16-bit without flags,anaOutput2
Group43Var2,3,Analog Output Status - 16-bit without flags,anaOutput3
Group43Var2,4,Analog Output Status - 16-bit without flags,anaOutput4
Group43Var2,5,Analog Output Status - 16-bit without flags,anaOutput5
Group43Var2,6,Analog Output Status - 16-bit without flags,anaOutput6
Group43Var2,7,Analog Output Status - 16-bit without flags,anaOutput7
Group43Var2,8,Analog Output Status - 16-bit without flags,anaOutput8
Group43Var2,9,Analog Output Status - 16-bit without flags,anaOutput9
Group43Var2,10,Analog Output Status - 16-bit without flags,anaOutput10
